College,Exam,Category,Opening Rank,Closing Rank,State,Institute Type,Source URL,Notes
AIIMS Delhi,NEET,General,1,47,Delhi,AIIMS,https://timesofindia.indiatimes.com/city/bhopal/neet-ug-seats-show-parity-between-govt-pvt-colleges-bhopal-leads-list/articleshow/123372442.cms,Reported NEET UG 2025 Round 1 opening and closing rank
AIIMS Bhopal,NEET,General,148,524,Madhya Pradesh,AIIMS,https://timesofindia.indiatimes.com/city/bhopal/neet-ug-seats-show-parity-between-govt-pvt-colleges-bhopal-leads-list/articleshow/123372442.cms,Reported NEET UG 2025 Round 1 opening and closing rank
AIIMS Bhubaneswar,NEET,General,60,706,Odisha,AIIMS,https://timesofindia.indiatimes.com/city/bhopal/neet-ug-seats-show-parity-between-govt-pvt-colleges-bhopal-leads-list/articleshow/123372442.cms,Reported NEET UG 2025 Round 1 opening and closing rank
AIIMS Rishikesh,NEET,General,90,685,Uttarakhand,AIIMS,https://timesofindia.indiatimes.com/city/bhopal/neet-ug-seats-show-parity-between-govt-pvt-colleges-bhopal-leads-list/articleshow/123372442.cms,Reported NEET UG 2025 Round 1 closing rank
AIIMS Nagpur,NEET,General,136,862,Maharashtra,AIIMS,https://timesofindia.indiatimes.com/city/bhopal/neet-ug-seats-show-parity-between-govt-pvt-colleges-bhopal-leads-list/articleshow/123372442.cms,Reported NEET UG 2025 Round 1 opening and closing rank
AIIMS Rajkot,NEET,General,93,1997,Gujarat,AIIMS,https://timesofindia.indiatimes.com/city/bhopal/neet-ug-seats-show-parity-between-govt-pvt-colleges-bhopal-leads-list/articleshow/123372442.cms,Reported NEET UG 2025 Round 1 opening and closing rank
Government Medical College Neemuch,NEET,General,48000,51439,Madhya Pradesh,Government Medical College,https://timesofindia.indiatimes.com/city/bhopal/neet-ug-seats-show-parity-between-govt-pvt-colleges-bhopal-leads-list/articleshow/123372442.cms,Reported last UR government college rank in MP round
IIT Bombay - Computer Science,JEE,General,1,65,Maharashtra,IIT,https://timesofindia.indiatimes.com/education/news/josaa-round-1-cut-off-2026-iit-bombay-cse-closes-at-air-65-iit-delhi-at-123-check-full-list/articleshow/131699112.cms,Reported JoSAA 2026 Round 1 open category CSE closing rank
IIT Delhi - Computer Science,JEE,General,24,123,Delhi,IIT,https://timesofindia.indiatimes.com/education/news/josaa-round-1-cut-off-2026-iit-bombay-cse-closes-at-air-65-iit-delhi-at-123-check-full-list/articleshow/131699112.cms,Reported JoSAA 2026 Round 1 open category CSE closing rank
IIT Madras - Computer Science,JEE,General,75,171,Tamil Nadu,IIT,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx,Starter value to be audited against JoSAA opening closing rank archive
IIT Kanpur - Computer Science,JEE,General,120,252,Uttar Pradesh,IIT,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx,Starter value to be audited against JoSAA opening closing rank archive
IIT Kharagpur - Computer Science,JEE,General,226,414,West Bengal,IIT,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx,Starter value to be audited against JoSAA opening closing rank archive
NIT Trichy - Computer Science,JEE,General,299,1019,Tamil Nadu,NIT,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx,Starter value to be audited against JoSAA opening closing rank archive
NIT Surathkal - Computer Science,JEE,General,455,1423,Karnataka,NIT,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx,Starter value to be audited against JoSAA opening closing rank archive
NIT Warangal - Computer Science,JEE,General,700,1899,Telangana,NIT,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx,Starter value to be audited against JoSAA opening closing rank archive
IIIT Allahabad - Information Technology,JEE,General,1097,4778,Uttar Pradesh,IIIT,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx,Starter value to be audited against JoSAA opening closing rank archive
IIIT Gwalior - Computer Science,JEE,General,3500,7750,Madhya Pradesh,IIIT,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx,Starter value to be audited against JoSAA opening closing rank archive
